ID,PRODUTO,CATEGORIA PRODUTO,QTDE,VALOR,DESCONTO,TOTAL,LOJA,VENDEDOR,CLIENTE,SEXO,ESTADO CIVIL,DATA,PERIODO,MES
1,W,GC,8,164,0.01,1298.88,SHOR,PXSFC,ODOBMH BBUZMDZV,f,d,2019-02-06,2019-02,2
2,G,BO,2,299,0.04,574.08,VLTN,GNLZS,LDJTIS ZEOZDGVT,m,s,2019-10-30,2019-10,10
3,M,KN,3,264,0.0,792.0,TLEO,NIWFA,BVQERG EPNTIRUC,f,d,2019-12-27,2019-12,12
4,F,YQ,2,219,0.02,429.24,OMDI,ITOLI,HHXPIG SBNWCSWD,m,-,2019-02-10,2019-02,2
5,R,JN,3,247,0.04,711.36,PMXJ,PNNMS,PDLQYR JBZOWCHF,m,d,2019-08-05,2019-08,8
6,O,DC,9,246,0.01,2191.86,QYKG,LQAQN,PKERRH SYPIVJIE,a,s,2019-08-07,2019-08,8
7,J,OJ,5,162,0.0,810.0,SOVJ,UKVFS,CSQAEF WIXXXSLI,m,-,2019-01-31,2019-01,1
8,D,WR,8,188,0.02,1473.92,AWEV,YHCAR,QYFLRG JVJUJIFX,f,c,2019-04-25,2019-04,4
9,I,OB,9,270,0.04,2332.8,JMOJ,THRET,RLTQSM BWHBSZYS,-,c,2019-12-26,2019-12,12
10,X,DV,3,251,0.04,722.88,TOAH,ZEGJK,BQLJFH BLZSQESZ,-,d,2019-11-17,2019-11,11
11,D,NB,5,198,0.02,970.2,ICEC,MILGP,KKKHCM UTCBIYNG,f,d,2019-03-26,2019-03,3
12,H,VR,5,223,0.01,1103.85,FOEK,WONWY,SXMMML ALTAPHUX,a,c,2019-09-28,2019-09,9
13,U,RV,2,185,0.04,355.2,LLYH,JJOXL,BYKFUY OBGTVMII,-,c,2019-12-30,2019-12,12
14,Q,YN,3,287,0.04,826.56,FRLO,DSVNC,REYRNB WDZZMSLM,a,-,2019-06-29,2019-06,6
15,B,WD,4,271,0.02,1062.32,CUIM,SWLTP,QIDRFD RSSHGYBH,f,c,2019-09-15,2019-09,9
16,E,VX,2,224,0.02,439.04,FCRH,HFLEY,QWPSCU NBCYBVFV,m,c,2019-01-25,2019-01,1
17,A,GN,3,215,0.0,645.0,LGIR,RPBFD,SRXVHK RXWGSDFR,f,s,2019-07-21,2019-07,7
18,Y,KP,8,230,0.02,1803.2,JYEV,QEPCF,TWGVEX EOMTIXND,f,d,2019-12-12,2019-12,12
19,H,OB,2,229,0.04,439.68,LRSZ,CAPAP,PCVKEW JNMSJFKR,f,d,2019-04-06,2019-04,4
20,S,XN,1,195,0.02,191.1,XWYF,KEXZU,CESYLS VSEHIFJG,-,-,2019-09-29,2019-09,9
21,B,SR,6,223,0.0,1338.0,ZNUG,ZYLRZ,PQSOEM HGNFFCOI,a,s,2019-03-22,2019-03,3
22,T,UF,6,204,0.0,1224.0,QPPT,MQIKP,ANAYOR EUOQETTI,-,s,2019-12-02,2019-12,12
23,S,JG,3,249,0.02,732.06,IGRN,KVZAM,RYEZHI MBJAQWJO,m,-,2019-07-27,2019-07,7
24,G,XH,6,247,0.0,1482.0,PMSS,PDUHC,GMOHSH IHVVYIPC,m,d,2019-06-11,2019-06,6
25,F,AZ,5,286,0.01,1415.7,PFXI,ISKBR,SBRAWJ OJFSATQK,f,c,2019-03-30,2019-03,3
26,U,IS,2,223,0.01,441.54,ISVS,ZZKTB,EIXDPB JXBUTRFY,-,d,2019-07-05,2019-07,7
27,T,JG,9,172,0.0,1548.0,PVCF,OOTSF,YHLDEB HMMUGRPO,a,c,2019-05-24,2019-05,5
28,G,PM,1,226,0.01,223.74,CGAY,AMJWU,LRMCUU FMQJPLKD,f,-,2019-02-11,2019-02,2
29,S,ME,5,182,0.03,882.7,WIFO,DPMJL,BOIBNW CBAJZRGG,f,s,2019-01-15,2019-01,1
30,A,YF,1,190,0.02,186.2,FWHK,IJJLQ,YKDAHG MHPMDSLD,m,-,2019-11-06,2019-11,11
31,W,ZV,4,247,0.02,968.24,UIFX,VUTSV,YOJCJQ OHGUGSZW,-,c,2019-08-27,2019-08,8
32,Y,VB,2,233,0.03,452.02,LHQM,OZDCB,MFUOGI NHVEYZYD,-,c,2019-06-07,2019-06,6
33,N,RB,5,159,0.0,795.0,RAQS,QFHZB,AGLTRN GUHIGCEQ,f,-,2019-02-16,2019-02,2
34,M,IW,3,176,0.01,522.72,IVDV,NFUVD,BBHQPY EHMTLJZT,a,-,2019-12-27,2019-12,12
35,F,OL,4,255,0.01,1009.8,GXSL,UCERB,ALZOMB WWLZXCOR,f,c,2019-08-24,2019-08,8
36,J,QG,4,173,0.04,664.32,SJQE,DBJBI,GEIUDI XLGAEYON,m,d,2019-06-28,2019-06,6
37,I,UX,9,222,0.04,1918.08,EGLE,JLGAH,DKOMAM EELXLDPT,-,-,2019-05-15,2019-05,5
38,E,NS,9,241,0.01,2147.31,LPTH,UXEHP,RNHKEZ BDEKXHZV,-,c,2019-08-22,2019-08,8
39,H,ZM,3,299,0.0,897.0,SCDM,GIMER,LTYIIB BEZIEMVS,m,d,2019-10-04,2019-10,10
40,I,YT,2,215,0.02,421.4,KJKI,DFHNJ,LPNTMT DSXOBAFZ,m,c,2019-06-23,2019-06,6
41,N,OG,9,196,0.0,1764.0,RVBF,BUJOL,VIZGWU GACQOJVQ,-,s,2019-02-04,2019-02,2
42,M,FX,4,172,0.0,688.0,RLQC,HWQZD,MOWBST FULATCDB,f,c,2019-02-09,2019-02,2
43,U,AJ,5,206,0.04,988.8,XDVR,DNCDC,YBPLIG EKPGUIXG,-,-,2019-04-21,2019-04,4
44,L,UA,6,171,0.04,984.96,QCTL,EDEDQ,KFAKWX SAPMGMUI,f,s,2019-09-13,2019-09,9
45,Y,ZI,4,178,0.01,704.88,NRXH,NTMAU,LFQPTR GARASIDS,m,c,2019-01-04,2019-01,1
46,P,SA,4,207,0.02,811.44,ZMWB,JXVRD,KIVHRT LIBRXXML,f,s,2019-06-12,2019-06,6
47,K,VC,1,267,0.02,261.66,VAVW,CIDVV,FPDVXB PYICNMQN,m,s,2019-05-10,2019-05,5
48,B,YM,1,238,0.0,238.0,KHPK,YGACX,XNDNXR ZJOMRIEV,-,-,2019-04-01,2019-04,4
49,K,MO,4,217,0.04,833.28,KIOH,CWIPH,CGNNDJ MUBFXJLV,-,d,2019-02-26,2019-02,2
